cell,timestr,velocity
47,2021-06-08 08:34:08,4.543253531646022
47,2021-06-08 08:40:32,4.367182985971107
47,2021-06-08 08:44:48,5.873946619892331
47,2021-06-08 08:49:04,1.3434300009508113
47,2021-06-08 08:55:28,10.88838836638933
48,2021-06-08 08:08:32,2.424329040649232
48,2021-06-08 08:14:56,2.7408395430420986
49,2021-06-08 08:08:32,4.141881651492478
49,2021-06-08 08:14:56,0.4076602937361891
49,2021-06-08 08:19:12,7.6502512044634265
49,2021-06-08 08:25:36,0.910362607824228
50,2021-06-08 08:08:32,6.419372209373402
50,2021-06-08 08:14:56,4.3222970538870635
50,2021-06-08 08:19:12,4.299116070344908
50,2021-06-08 08:25:36,4.140727555053565
51,2021-06-08 08:08:32,1.1162272246051448
51,2021-06-08 08:14:56,2.6629108337803293
51,2021-06-08 08:19:12,0.6328926220064262
52,2021-06-08 08:08:32,2.6937790062006415
52,2021-06-08 08:14:56,5.49086935573691
52,2021-06-08 08:19:12,3.433523120751603
52,2021-06-08 08:25:36,2.582239169375259
52,2021-06-08 08:29:52,2.5005657237464236
52,2021-06-08 08:34:08,0.9387841356289713
52,2021-06-08 08:40:32,4.1017372311042966
52,2021-06-08 08:44:48,3.040495522771575
52,2021-06-08 08:49:04,2.6509631416930377
52,2021-06-08 08:55:28,1.5246195377122391
52,2021-06-08 08:59:44,0.3529641164364271
52,2021-06-08 09:04:00,0.9427581669766645
52,2021-06-08 09:10:24,8.943914629664162
52,2021-06-08 09:14:40,1.0034654956767926
52,2021-06-08 09:18:56,1.085730215497581
52,2021-06-08 09:25:20,0.4868584015087651
52,2021-06-08 09:29:36,2.084063315897972
52,2021-06-08 09:33:52,2.78799448441622
52,2021-06-08 09:40:16,0.4103583803545275
52,2021-06-08 09:44:32,0.5586690312018538
52,2021-06-08 09:48:48,1.3801453934183308
52,2021-06-08 09:55:12,2.040236948302574
52,2021-06-08 09:59:28,2.706752264123038
52,2021-06-08 10:03:44,4.575871780436925
53,2021-06-08 08:08:32,0.4044584676193467
55,2021-06-08 08:08:32,2.449036806395169
55,2021-06-08 08:14:56,4.316681787134394
56,2021-06-08 08:08:32,1.0734754504981765
56,2021-06-08 08:14:56,1.682449986938808
56,2021-06-08 08:19:12,1.4824973427793273
56,2021-06-08 08:25:36,5.845922851808972
56,2021-06-08 08:29:52,2.683259483396236
56,2021-06-08 08:34:08,2.621262073999223
56,2021-06-08 08:40:32,1.360197699941316
56,2021-06-08 08:44:48,1.2750814279474247
56,2021-06-08 08:49:04,2.783155672960676
56,2021-06-08 08:55:28,1.4924701950400936
56,2021-06-08 08:59:44,1.4049798277810317
56,2021-06-08 09:04:00,1.5505538160429067
56,2021-06-08 09:10:24,3.146372206174723
56,2021-06-08 09:14:40,2.0091774603238233
56,2021-06-08 09:18:56,2.8983018020911877
56,2021-06-08 09:25:20,2.996418514889691
56,2021-06-08 09:29:36,1.688455149738347
56,2021-06-08 09:33:52,1.4584203485646243
56,2021-06-08 09:40:16,7.3365132341293355
56,2021-06-08 09:44:32,1.9187229948695796
56,2021-06-08 09:48:48,12.214392152108058
56,2021-06-08 09:55:12,8.77142769154403
56,2021-06-08 09:59:28,0.9117668028906242
56,2021-06-08 10:03:44,2.190162317255785
56,2021-06-08 10:10:08,0.4840116573588741
56,2021-06-08 10:14:24,1.2220523932798644
56,2021-06-08 10:18:40,3.7188701855492003
56,2021-06-08 10:25:04,8.909570491234525
56,2021-06-08 10:29:20,7.630271259321693
57,2021-06-08 08:08:32,1.149363983838773
57,2021-06-08 08:14:56,3.118262708583734
57,2021-06-08 08:19:12,4.068358304627842
57,2021-06-08 08:25:36,2.0741087689359454
57,2021-06-08 08:29:52,1.8636458255243573
58,2021-06-08 08:08:32,1.9907880449288184
58,2021-06-08 08:14:56,1.9436874112950484
58,2021-06-08 08:19:12,2.9375561412901177
58,2021-06-08 08:25:36,0.9786683995672621
58,2021-06-08 08:29:52,1.3760101401210265
59,2021-06-08 08:08:32,13.228344712036154
59,2021-06-08 08:14:56,8.918964039279917
59,2021-06-08 08:19:12,15.23991824303153
59,2021-06-08 08:25:36,8.457430679089475
59,2021-06-08 08:29:52,9.297338188618726
59,2021-06-08 08:34:08,10.181076825836124
60,2021-06-08 08:08:32,7.436206846517503
60,2021-06-08 08:14:56,10.243202820544651
60,2021-06-08 08:19:12,11.706075894272601
60,2021-06-08 08:25:36,7.729889882353186
60,2021-06-08 08:29:52,9.091601413352622
61,2021-06-08 08:08:32,12.16200946401293
61,2021-06-08 08:14:56,13.518210700853317
61,2021-06-08 08:19:12,12.805555410753524
61,2021-06-08 08:25:36,10.215748040127174
61,2021-06-08 08:29:52,11.519293231946722
