timestr,cell,temperature,dewpoint,CAPE,winddir,windspeed,spread
2021-06-04 11:24:48,3,23.350000381469727,16.6200008392334,1714.0,191.3099365234375,9.178235054016113,6.729999542236328
2021-06-04 11:29:04,3,23.350000381469727,16.6200008392334,1714.0,191.3099365234375,9.178235054016113,6.729999542236328
2021-06-04 11:35:28,3,23.260000228881836,16.989999771118164,1930.0,189.09027099609375,9.114471435546875,6.270000457763672
2021-06-04 11:39:44,3,23.360000610351562,17.309999465942383,1822.0,187.43141174316406,8.350137710571289,6.05000114440918
2021-06-04 11:44:00,3,23.360000610351562,17.309999465942383,1822.0,187.43141174316406,8.350137710571289,6.05000114440918
2021-06-04 11:50:24,3,23.360000610351562,17.309999465942383,1822.0,187.43141174316406,8.350137710571289,6.05000114440918
2021-06-04 11:54:40,3,23.260000228881836,16.989999771118164,1930.0,189.09027099609375,9.114471435546875,6.270000457763672
2021-06-04 08:49:04,7,20.600000381469727,14.100000381469727,1192.0,238.5704345703125,7.594208240509033,6.5
2021-06-04 08:55:28,7,20.600000381469727,14.100000381469727,1192.0,238.5704345703125,7.594208240509033,6.5
2021-06-04 08:59:44,7,20.600000381469727,14.100000381469727,1192.0,238.5704345703125,7.594208240509033,6.5
2021-06-04 09:04:00,7,20.600000381469727,14.100000381469727,1192.0,238.5704345703125,7.594208240509033,6.5
2021-06-04 09:10:24,7,20.600000381469727,14.100000381469727,1192.0,238.5704345703125,7.594208240509033,6.5
2021-06-04 09:14:40,7,20.600000381469727,14.100000381469727,1192.0,238.5704345703125,7.594208240509033,6.5
2021-06-04 09:18:56,7,21.270000457763672,14.489999771118164,1039.0,240.255126953125,5.804825305938721,6.780000686645508
2021-06-04 09:25:20,7,21.270000457763672,14.489999771118164,1039.0,240.255126953125,5.804825305938721,6.780000686645508
2021-06-04 09:29:36,7,21.270000457763672,14.489999771118164,1039.0,240.255126953125,5.804825305938721,6.780000686645508
2021-06-04 09:33:52,7,22.40999984741211,15.069999694824219,251.0,235.49148559570312,6.989935874938965,7.340000152587891
2021-06-04 09:40:16,7,22.40999984741211,15.069999694824219,251.0,235.49148559570312,6.989935874938965,7.340000152587891
2021-06-04 09:44:32,7,22.40999984741211,15.069999694824219,251.0,235.49148559570312,6.989935874938965,7.340000152587891
2021-06-04 09:48:48,7,22.40999984741211,15.069999694824219,251.0,235.49148559570312,6.989935874938965,7.340000152587891
2021-06-04 10:03:44,6,23.190000534057617,17.760000228881836,153.0,302.00537109375,6.792466163635254,5.430000305175781
2021-06-04 10:10:08,6,23.190000534057617,17.760000228881836,153.0,302.00537109375,6.792466163635254,5.430000305175781
2021-06-04 10:14:24,6,23.190000534057617,17.760000228881836,153.0,302.00537109375,6.792466163635254,5.430000305175781
2021-06-04 10:18:40,6,23.190000534057617,17.760000228881836,153.0,302.00537109375,6.792466163635254,5.430000305175781
2021-06-04 10:25:04,6,23.190000534057617,17.760000228881836,153.0,302.00537109375,6.792466163635254,5.430000305175781
2021-06-04 10:29:20,6,23.190000534057617,17.760000228881836,153.0,302.00537109375,6.792466163635254,5.430000305175781
2021-06-04 10:33:36,6,23.469999313354492,17.899999618530273,162.0,325.3048400878906,5.692099094390869,5.569999694824219
2021-06-04 10:40:00,6,23.469999313354492,17.899999618530273,162.0,325.3048400878906,5.692099094390869,5.569999694824219
2021-06-04 10:44:16,6,23.469999313354492,17.899999618530273,162.0,325.3048400878906,5.692099094390869,5.569999694824219
2021-06-04 10:48:32,6,23.600000381469727,17.6200008392334,45.0,344.0545959472656,5.241678714752197,5.979999542236328
2021-06-04 10:54:56,6,23.600000381469727,17.6200008392334,45.0,344.0545959472656,5.241678714752197,5.979999542236328
2021-06-04 10:59:12,6,23.600000381469727,17.6200008392334,45.0,344.0545959472656,5.241678714752197,5.979999542236328
2021-06-04 11:05:36,6,23.600000381469727,17.6200008392334,45.0,344.0545959472656,5.241678714752197,5.979999542236328
2021-06-04 11:09:52,6,23.600000381469727,17.6200008392334,45.0,344.0545959472656,5.241678714752197,5.979999542236328
2021-06-04 11:14:08,6,23.600000381469727,17.6200008392334,45.0,344.0545959472656,5.241678714752197,5.979999542236328
2021-06-04 11:20:32,6,23.600000381469727,17.6200008392334,45.0,344.0545959472656,5.241678714752197,5.979999542236328
2021-06-04 11:24:48,6,23.600000381469727,17.6200008392334,45.0,344.0545959472656,5.241678714752197,5.979999542236328
2021-06-04 11:29:04,6,23.600000381469727,17.6200008392334,45.0,344.0545959472656,5.241678714752197,5.979999542236328
2021-06-04 11:35:28,6,24.389999389648438,18.170000076293945,200.0,341.5650634765625,3.415259599685669,6.219999313354492
2021-06-04 11:39:44,6,23.940000534057617,17.6299991607666,292.0,320.1944274902344,2.811689853668213,6.310001373291016
2021-06-04 11:44:00,6,23.940000534057617,17.6299991607666,292.0,320.1944274902344,2.811689853668213,6.310001373291016
2021-06-04 11:50:24,6,23.940000534057617,17.6299991607666,292.0,320.1944274902344,2.811689853668213,6.310001373291016
2021-06-04 11:54:40,6,23.940000534057617,17.6299991607666,292.0,320.1944274902344,2.811689853668213,6.310001373291016
2021-06-04 11:58:56,6,23.940000534057617,17.6299991607666,292.0,320.1944274902344,2.811689853668213,6.310001373291016
2021-06-04 12:05:20,6,23.940000534057617,17.6299991607666,292.0,320.1944274902344,2.811689853668213,6.310001373291016
2021-06-04 12:09:36,6,23.940000534057617,17.6299991607666,292.0,320.1944274902344,2.811689853668213,6.310001373291016
2021-06-04 12:13:52,6,23.940000534057617,17.6299991607666,292.0,320.1944274902344,2.811689853668213,6.310001373291016
2021-06-04 12:20:16,6,23.690000534057617,16.56999969482422,316.0,309.8055725097656,2.811689853668213,7.120000839233398
2021-06-04 12:24:32,6,23.690000534057617,16.56999969482422,316.0,309.8055725097656,2.811689853668213,7.120000839233398
2021-06-04 12:28:48,6,23.68000030517578,17.639999389648438,402.0,319.3987121582031,3.3190360069274902,6.040000915527344
2021-06-04 12:35:12,6,23.850000381469727,17.770000457763672,734.0,280.30487060546875,4.0249223709106445,6.079999923706055
2021-06-04 12:39:28,6,23.850000381469727,17.770000457763672,734.0,280.30487060546875,4.0249223709106445,6.079999923706055
2021-06-04 12:43:44,6,23.850000381469727,17.770000457763672,734.0,280.30487060546875,4.0249223709106445,6.079999923706055
2021-06-04 12:50:08,6,23.850000381469727,17.770000457763672,734.0,280.30487060546875,4.0249223709106445,6.079999923706055
2021-06-04 12:54:24,6,23.850000381469727,17.770000457763672,734.0,280.30487060546875,4.0249223709106445,6.079999923706055
2021-06-04 12:58:40,6,23.850000381469727,17.770000457763672,734.0,280.30487060546875,4.0249223709106445,6.079999923706055
2021-06-04 13:05:04,6,23.850000381469727,17.770000457763672,734.0,280.30487060546875,4.0249223709106445,6.079999923706055
2021-06-04 13:09:20,6,23.850000381469727,17.770000457763672,734.0,280.30487060546875,4.0249223709106445,6.079999923706055
2021-06-04 13:13:36,6,23.260000228881836,17.200000762939453,883.0,285.9454040527344,5.241678714752197,6.059999465942383
2021-06-04 13:05:04,4,24.219999313354492,16.0,2066.0,189.4623260498047,10.948972702026367,8.219999313354492
2021-06-04 13:09:20,4,24.219999313354492,16.0,2066.0,189.4623260498047,10.948972702026367,8.219999313354492
2021-06-04 13:13:36,4,24.219999313354492,16.0,2066.0,189.4623260498047,10.948972702026367,8.219999313354492
2021-06-04 13:20:00,4,24.219999313354492,16.0,2066.0,189.4623260498047,10.948972702026367,8.219999313354492
2021-06-04 13:24:16,4,24.219999313354492,16.0,2066.0,189.4623260498047,10.948972702026367,8.219999313354492
2021-06-04 13:28:32,4,24.219999313354492,16.0,2066.0,189.4623260498047,10.948972702026367,8.219999313354492
2021-06-04 13:34:56,4,24.56999969482422,16.1200008392334,2134.0,199.02560424804688,11.04326057434082,8.44999885559082
2021-06-04 13:39:12,4,24.56999969482422,16.1200008392334,2134.0,199.02560424804688,11.04326057434082,8.44999885559082
2021-06-04 13:45:36,4,24.56999969482422,16.1200008392334,2134.0,199.02560424804688,11.04326057434082,8.44999885559082
2021-06-04 13:49:52,4,24.56999969482422,16.1200008392334,2134.0,199.02560424804688,11.04326057434082,8.44999885559082
2021-06-04 13:54:08,4,24.56999969482422,16.1200008392334,2134.0,199.02560424804688,11.04326057434082,8.44999885559082
2021-06-04 14:00:32,4,25.81999969482422,14.5,1228.0,228.8140869140625,11.480557441711426,11.319999694824219
2021-06-04 14:04:48,4,24.56999969482422,16.1200008392334,2134.0,199.02560424804688,11.04326057434082,8.44999885559082
