cell,timestr,mindist
190,2021-06-22 11:09:52,65.7560327439664
191,2021-06-22 11:09:52,65.7560327439664
202,2021-06-22 11:09:52,60.98047754828781
204,2021-06-22 11:09:52,37.55352690486327
203,2021-06-22 11:09:52,37.55352690486327
205,2021-06-22 11:09:52,86.38305200498078
206,2021-06-22 11:09:52,26.30929568379037
207,2021-06-22 11:09:52,26.984056362939306
208,2021-06-22 11:09:52,43.28741227835308
209,2021-06-22 11:09:52,45.821733079935164
210,2021-06-22 11:09:52,26.30929568379037
211,2021-06-22 11:09:52,78.30416675392306
212,2021-06-22 11:09:52,43.28741227835308
213,2021-06-22 11:09:52,34.38047434062013
215,2021-06-22 11:09:52,34.38047434062013
339,2021-06-22 11:09:52,72.52185566436383
219,2021-06-22 11:09:52,139.44299303528004
221,2021-06-22 11:09:52,63.90539213269715
223,2021-06-22 11:09:52,63.90539213269715
340,2021-06-22 11:09:52,53.417806325334865
341,2021-06-22 11:09:52,59.26486487088917
1,2021-06-22 11:14:08,76.05469072301068
226,2021-06-22 11:14:08,38.55165578412632
2,2021-06-22 11:14:08,34.32296795758807
227,2021-06-22 11:14:08,34.32296795758807
228,2021-06-22 11:14:08,36.91828673041238
6,2021-06-22 11:14:08,47.6397320936985
7,2021-06-22 11:14:08,34.50646090012232
230,2021-06-22 11:14:08,50.10336596773759
342,2021-06-22 11:14:08,50.10336596773759
231,2021-06-22 11:14:08,49.98460815362781
72,2021-06-22 11:14:08,49.98460815362781
73,2021-06-22 11:14:08,29.503458172920553
20,2021-06-22 11:14:08,61.59341850077981
22,2021-06-22 11:14:08,41.699896048318266
234,2021-06-22 11:14:08,69.64189997674173
33,2021-06-22 11:14:08,73.74369137137174
31,2021-06-22 11:14:08,167.76715126722945
348,2021-06-22 11:14:08,92.87498777848388
349,2021-06-22 11:14:08,89.25634685157384
241,2021-06-22 11:14:08,89.25634685157384
41,2021-06-22 11:14:08,81.27483917200215
43,2021-06-22 11:14:08,30.901710028545374
